,APPID,Name,Current,24h,Total
+,12340,Jack Keane,2,3,341
+,12360,FlatOut: Ultimate Carnage,13,30,168
+,12370,Jagged Alliance 2: Gold Pack,9,15,81
+,12380,Jagged Alliance 2 Gold: Unfinished Business,1,2,11
+,12470,Port Royale 2,17,31,82
+,12500,Puzzle Quest,8,20,"1,392"
+,12520,18 Wheels of Steel: American Long Haul,4,8,37
+,12540,Mahjongg Investigations: Under Suspicion,1,2,7
+,12590,Sprint Cars: Road to Knoxville,2,3,13
+,12640,Drakensang,11,32,124
+,12710,Overlord: Raising Hell,22,37,"1,354"
+,12750,GRID,27,60,"4,823"
+,12770,Rise of the Argonauts,1,4,203
+,12810,Overlord II,32,78,"1,702"
+,12830,Operation Flashpoint: Dragon Rising,8,18,943
+,12840,DiRT 2,4,12,"1,832"
+,12900,Audiosurf,21,42,"5,977"
+,12910,Audiosurf Demo,1,1,152
+,13140,America's Army 3,11,13,"5,735"
+,13200,Unreal II: The Awakening,1,5,76
+,13210,Unreal Tournament 3: Black Edition,22,53,"1,514"
+,13230,Unreal Tournament 2004,41,66,504
+,13240,Unreal Tournament: Game of the Year Edition,25,50,134
+,13250,Unreal Gold,13,24,"1,062"
+,13260,Unreal Development Kit,30,57,105
+,13500,Prince of Persia: Warrior Within,1,11,119
+,13520,Far Cry,42,77,"1,267"
+,13530,Prince of Persia: The Two Thrones,5,12,95
+,13540,Tom Clancy's Rainbow Six: Vegas,9,10,116
+,13560,Tom Clancy's Splinter Cell,16,21,421
+,13570,Tom Clancy's Splinter Cell: Chaos Theory,28,37,501
+,13580,Tom Clancy's Splinter Cell: Double Agent,2,6,157
+,13600,Prince of Persia: The Sands of Time,6,10,392
+,13630,Tom Clancy's Ghost Recon: Island Thunder,1,4,11
+,15080,Rayman: Raving Rabbids,1,5,30
+,15100,Assassin's Creed,72,196,"1,468"
+,15120,Tom Clancy's Rainbow Six: Vegas 2,42,59,"1,734"
+,15130,Beyond Good & Evil,4,18,274
+,15150,Petz Catz 2,1,1,14
+,15170,Heroes of Might & Magic V,104,212,"1,720"
+,15190,Brothers in Arms: Road to Hill 30,9,16,97
+,15200,Silent Hunter: Wolves of the Pacific,38,40,118
+,15210,Silent Hunter III,67,125,179
+,15220,Blazing Angels: Squadrons of WWII,1,2,20
+,15230,Blazing Angels 2: Secret Missions of WWII,1,1,23
+,15240,Silent Hunter: Wolves of the Pacific U-Boat Missions,15,20,40
+,15260,Chessmaster: Grandmaster Edition,1,2,12
+,15300,Tom Clancy's Ghost Recon,13,16,81
+,15310,The Settlers: Heritage of Kings,1,7,52
+,15320,IL-2 Sturmovik: 1946,35,68,146
+,15330,The Settlers: Rise of an Empire,1,3,9
+,15370,Heroes of Might & Magic V: Tribes of the East,93,232,661
+,15380,Heroes of Might & Magic V: Hammers of Fate,25,32,77
+,15390,Brothers in Arms: Hell's Highway,18,22,360
+,15620,"Warhammer 40,000: Dawn of War II",197,371,"18,862"
+,15700,Oddworld: Abe's Oddysee,15,31,"45,049"
+,15710,Oddworld: Abe's Exoddus,5,16,60
+,15740,Oddworld: Munch's Oddysee,5,8,122
+,15750,Oddworld: Stranger's Wrath HD,7,12,158
+,15900,7 Wonders II,4,17,38
+,15910,Luxor: Amun Rising,2,5,13
+,15930,Luxor 3,3,8,12
+,16040,Luxor: Quest for the Afterlife,2,2,13
+,16060,Samantha Swift and the Golden Touch,2,3,12
+,16100,Virtual Villagers: A New Home,1,4,14
+,16110,Virtual Villagers 2: The Lost Children,3,5,12
+,16120,Plant Tycoon,10,10,21
+,16130,Fish Tycoon,3,6,13
+,16160,Plant Tycoon Demo,1,2,12
+,16180,Virtual Villagers 3: The Secret City,5,10,14
+,16190,Virtual Villagers 3: The Secret City Demo,1,1,4
+,16450,F.E.A.R. 2: Project Origin,34,63,"4,209"
+,16600,Trials 2: Second Edition,4,5,224
+,16700,Stronghold Crusader Extreme HD,48,141,221
+,16720,Velvet Assassin,2,8,183
+,16730,Legendary,2,6,169
+,16810,Sid Meier's Civilization IV: Colonization,144,213,729
+,16830,Sid Meier's Civilization V SDK,8,11,24
+,16900,Ground Branch,14,17,190
+,17080,Tribes: Ascend,17,33,"7,444"
+,17100,Children of the Nile,3,8,35
+,17120,Children of the Nile: Alexandria,6,10,30
+,17140,Hinterland,1,3,196
+,17300,Crysis,32,78,"2,237"
+,17330,Crysis Warhead,15,23,927
+,17390,Spore,509,720,"5,630"
+,17410,Mirror's Edge,32,66,"3,805"
+,17430,Need for Speed: Undercover,40,88,634
+,17440,Spore: Creepy & Cute Parts Pack,36,60,528
+,17450,Dragon Age: Origins,105,213,"7,089"
+,17460,Mass Effect,345,478,"4,183"
+,17470,Dead Space,59,108,"2,305"
+,17480,Command and Conquer: Red Alert 3,193,361,"2,984"
+,17500,Zombie Panic! Source,46,82,"2,996"
+,17505,Zombie Panic! Source Dedicated Server,1,1,4
+,17510,Age of Chivalry,1,15,"2,399"
+,17515,Age of Chivalry Dedicated Server,1,2,6
+,17520,Synergy,38,72,"1,139"
+,17525,Synergy Dedicated Server,1,1,5
+,17530,D.I.P.R.I.P. Warm Up,1,1,588
+,17550,Eternal Silence,5,5,457
+,17570,"Pirates, Vikings, & Knights II",23,53,878
+,17600,Out of the Park Baseball 9,1,2,20
